Always,Siempre
Never,Nunca
Sometimes,A veces
Often,A menudo
Usually,Usualmente
Rarely,Raramente
Already,Ya
Still,Aún
Later,Más tarde
Soon,Pronto
Far,Lejos
Near,Cerca
Fast,Rápido
Slow,Lento
Early,Temprano
Late,Tarde
Today,Hoy
Tomorrow,Mañana
Yesterday,Ayer
Week,Semana
Month,Mes
Year,Año
Morning,Mañana
Afternoon,Tarde
Evening,Noche
Spring,Primavera
Summer,Verano
Autumn,Otoño
Winter,Invierno
Cold,Frío
Hot,Caliente
Warm,Cálido
Cool,Fresco
To wake up,Despertarse
To sleep,Dormir
To eat,Comer
To drink,Beber
To speak,Hablar
To listen,Escuchar
To see,Ver
To hear,Oír
To feel,Sentir
To touch,Tocar
To walk,Caminar
To run,Correr
To swim,Nadar
To sing,Cantar
To dance,Bailar
To read,Leer
To write,Escribir
To study,Estudiar
To work,Trabajar
To travel,Viajar
To buy,Comprar
To sell,Vender
To want,Querer
To need,Necesitar
To like,Gustar
To dislike,Disgustar
To love,Amar
To hate,Odiar
To help,Ayudar
To learn,Aprender
To teach,Enseñar
Friend,Amigo
Neighbour,Vecino
Teacher,Maestro/a
Student,Estudiante
Family,Familia
Parent,Padre/madre
Child,Niño/a
Sister,Hermana
Brother,Hermano
Husband,Esposo
Wife,Esposa
Son,Hijo
Daughter,Hija
Grandfather,Abuelo
Grandmother,Abuela
Uncle,Tío
Aunt,Tía
Cousin,Primo/a
Boss,Jefe
Employee,Empleado/a
Doctor,Doctor/a
Nurse,Enfermero/a
Police,Policía
Firefighter,Bombero/a
Soldier,Soldado/a
Engineer,Ingeniero/a
Artist,Artista
Musician,Músico/a
Writer,Escritor/a
Scientist,Científico/a
Actor/Actress,Actor/Actriz