How are you?,¿Cómo estás?
"I’m fine, thank you.","Estoy bien, gracias."
What is your name?,¿Cómo te llamas?
My name is [Your Name].,Mi nombre es [Tu Nombre].
Where are you from?,¿De dónde eres?
I am from the US.,Soy de los Estados Unidos.
Do you speak English?,¿Hablas inglés?
Please,Por favor
Thank you,Gracias
You’re welcome,De nada
"Excuse me, where is the bathroom?","Perdón, ¿dónde está el baño?"
How much does this cost?,¿Cuánto cuesta esto?
Can you help me?,¿Puede ayudarme?
I don’t understand.,No entiendo.
Can you repeat that?,¿Puede repetir eso?
I need a taxi.,Necesito un taxi.
Where is the nearest bus stop?,¿Dónde está la parada de bus más cercana?
What time is it?,¿Qué hora es?
I would like to buy this.,Me gustaría comprar esto.
Do you have a map?,¿Tienes un mapa?
I’m lost.,Estoy perdido/a.
How far is it?,¿Qué tan lejos está?
Can I pay with a credit card?,¿Puedo pagar con tarjeta de crédito?
I am looking for a restaurant.,Estoy buscando un restaurante.
Where can I buy a SIM card?,¿Dónde puedo comprar una tarjeta SIM?
What is the address?,¿Cuál es la dirección?
Can you show me on the map?,¿Puedes mostrarme en el mapa?
I would like a coffee.,Quisiera un café.
Do you have vegetarian food?,¿Tienen comida vegetariana?
Is there a pharmacy around here?,¿Hay una farmacia por aquí?
I need some water.,Necesito agua.
How do I get to the airport?,¿Cómo llego al aeropuerto?
Is it safe here?,¿Es seguro aquí?
What’s the weather like today?,¿Cómo está el clima hoy?
I’m allergic to [item].,Soy alérgico/a a [producto].
"Can I have the bill, please?","¿Me trae la cuenta, por favor?"
Where can I buy tickets?,¿Dónde puedo comprar boletos?
"I’m just browsing, thank you.","Solo estoy mirando, gracias."
"Can I have the menu, please?","¿Me da el menú, por favor?"
What do you recommend?,¿Qué me recomienda?
Is there Wi-Fi here?,¿Hay Wi-Fi aquí?
Do you have a [item]?,¿Tienen [producto]?
I would like to rent a car.,Me gustaría alquilar un coche.
Where is the nearest hotel?,¿Dónde está el hotel más cercano?
Is this the right way to [place]?,¿Este es el camino correcto para [lugar]?
Can you make it cheaper?,¿Puedes hacerlo más barato?
"I’m just looking, thank you.","Solo estoy mirando, gracias."
What is the best way to get around here?,¿Cuál es la mejor forma de moverse por aquí?
Can you give me directions?,¿Puedes darme direcciones?
Is it open on Sundays?,¿Está abierto los domingos?
What’s the best way to get to the city center?,¿Cuál es la mejor manera de llegar al centro de la ciudad?
I’m here on vacation.,Estoy aquí de vacaciones.